index_column,taxumap1,taxumap2
210625-LD-001.01,41.190266,10.861054
210625-LD-001.02,40.632072,11.101795
210625-LD-002.01,37.83238,22.440115
210628-LD-001.03,41.58844,10.787952
210628-LD-003.01,37.98332,22.471907
210628-LD-003.02,37.46996,23.754366
210628-LD-004.01,38.35293,22.812855
210628-LD-006.01,41.202427,11.334161
210628-LD-007.01,41.451275,12.109682
210628-LD-008.01,37.49053,22.05918
210628-LD-009.01,38.896908,11.518591
210628-LD-009.02,38.863743,11.562406
210628-LD-010.01,37.941364,17.79582
210628-LD-010.02,40.793427,11.47296
210628-LD-011.01,41.233654,11.623178
210628-LD-011.02,39.74378,12.103725
210628-LD-012.01,41.856632,12.128162
210628-LD-015.01,41.93515,12.827719
210628-MICU-389.04,36.96226,22.714144
210628-MICU-402.01,39.81073,16.198566
210628-UC-060.02,38.410336,22.841911
210630-LD-004.05,37.34843,22.977259
210630-LD-011.03,39.374943,12.30292
210630-LD-011.04,39.12893,12.1867695
210630-LD-014.02,39.109947,11.736921
210630-LD-014.03,39.445637,11.820932
210630-LD-018.01,38.359764,12.272464
210630-LD-019.01,39.157097,12.373695
210630-LD-019.02,38.840935,12.249408
210630-LD-020.01,39.399197,11.425043
210630-LD-022.01,41.734463,12.37274
210630-LD-022.02,39.413963,11.439704
210630-LD-023.01,37.858566,23.079493
210630-LD-024.01,41.54573,10.464992
210714-LD-011.06,38.78838,11.726631
210714-LD-015.03,38.03272,11.790718
210714-LD-018.02,38.00764,11.83391
210714-LD-024.04,39.91138,16.53688
210714-LD-027.01,37.00307,23.792866
210714-LD-027.02,37.355003,22.245554
210714-LD-029.02,41.573975,13.192656
210714-LD-034.01,39.96147,16.536695
210714-LD-037.01,36.82054,24.427065
210714-LD-038.01,41.728294,11.116009
210714-LD-040.01,40.92699,11.437599
210805-LD-019.03,38.697273,11.988889
210805-LD-024.05,39.89526,16.747252
210805-LD-024.06,39.88497,16.497381
210805-LD-024.07,39.998085,16.555344
210805-LD-024.08,37.711876,22.117495
210805-LD-024.09,39.66994,15.903277
210805-LD-029.03,38.028088,22.285854
210805-LD-032.02,38.55399,11.495476
210805-LD-034.03,40.442204,16.602798
210805-LD-034.05,40.155567,16.709593
210805-LD-034.06,39.869923,16.87448
210805-LD-035.01,38.25507,12.160113
210805-LD-037.02,42.01239,11.890617
210805-LD-037.03,41.254005,10.522521
210805-LD-039.01,41.16171,12.689365
210805-LD-041.01,41.346764,12.656125
210805-LD-042.03,40.359184,16.213068
210805-LD-043.01,36.813553,23.942108
210805-LD-043.02,36.802555,23.71334
210805-LD-044.01,41.42717,10.326337
210805-LD-045.01,41.03879,13.027368
210805-LD-045.02,41.20003,10.349556
210805-LD-045.03,40.9258,10.728069
210805-LD-046.01,40.590706,11.861717
210805-LD-047.01,41.609863,10.719341
210805-LD-049.01,37.441616,22.145506
210805-LD-051.01,39.050278,11.806111
210805-LD-051.02,38.96874,11.704458
210805-LD-052.01,39.18728,11.883811
210805-LD-053.01,41.59198,10.694987
210805-LD-054.01,41.830673,10.833587
210805-LD-055.01,38.513027,11.746242
210805-LD-057.01,41.39198,12.595739
210805-LD-058.01,41.917217,11.826787
210805-LD-060.01,42.11988,11.412664
210805-LD-060.02,41.95744,11.194484
210805-LD-060.03,41.014484,10.65986
210805-LD-062.01,40.948086,12.807928
210805-LD-062.02,41.036697,12.860556
210805-LD-063.01,41.537518,12.449077
210805-LD-064.01,39.741642,11.66007
210805-LD-065.01,38.349228,11.590262
210805-LD-068.01,39.174393,11.550503
210805-LD-61.01,38.565033,11.526501
210806-2-LD-097.02,40.911686,12.852167
210806-LD-001.04,41.246952,11.133488
210806-LD-001.05,41.166286,11.027395
210806-LD-032.05,40.002235,16.824636
210806-LD-032.06,40.295677,16.94082
210806-LD-033.03,37.904808,17.690577
210806-LD-033.04,38.070538,17.854082
210806-LD-033.05,37.92879,17.760492
210806-LD-054.05,38.131996,21.329426
210806-LD-060.06,37.33599,23.627277
210806-LD-060.07,37.2384,23.494156
210806-LD-060.08,37.196564,23.153738
210806-LD-060.09,37.31082,22.918043
210806-LD-060.10,37.72253,21.843943
210806-LD-065.02,39.586742,11.857524
210806-LD-069.03,37.544064,22.72915
210806-LD-072.07,41.22142,11.751083
210806-LD-074.05,37.785862,17.864435
210806-LD-074.06,40.684177,12.457594
210806-LD-074.08,40.754242,12.449305
210806-LD-084.01,41.119343,13.102164
210806-LD-084.02,40.541325,16.514963
210806-LD-084.03,39.748642,16.588232
210806-LD-084.04,39.92275,16.534607
210806-LD-084.05,40.56326,16.584776
210806-LD-085.01,41.059208,12.044735
210806-LD-086.01,40.53362,12.830511
210806-LD-086.02,40.665348,14.992342
210806-LD-087.01,41.09496,15.356752
210806-LD-087.04,41.011116,11.227726
210806-LD-088.01,41.465,13.122042
210806-LD-092.01,41.873104,13.220011
210806-LD-092.02,42.09306,12.018644
210806-LD-093.01,41.885582,11.11785
210806-LD-093.02,39.362907,16.9838
210806-LD-094.01,41.38128,11.366059
210806-LD-094.02,40.356335,16.156225
210806-LD-094.03,38.71427,12.188276
210806-LD-094.04,38.42385,12.08932
210806-LD-095.01,36.763992,24.339413
210806-LD-095.02,37.08545,23.228981
210806-LD-095.03,36.973957,23.844893
210806-LD-097.01,41.28161,11.734137
210806-LD-098.01,41.436836,12.025837
210806-LD-100.01,41.74487,11.193088
210806-LD-100.03,40.330524,16.795797
210806-LD-102.01,37.47703,23.435328
210806-LD-104.01,39.174908,12.106649
210811-LD-028.02,39.17143,12.726418
210811-LD-032.07,38.16116,22.665663
210811-LD-051.05,41.262554,12.261244
210811-LD-069.04,37.243896,23.92199
210811-LD-069.06,36.631924,24.330332
210811-LD-074.09,40.79004,12.53915
210811-LD-075.03,37.96212,22.810305
210811-LD-083.03,40.70694,14.995296
210811-LD-094.07,40.18418,16.029339
210811-LD-100.04,38.21607,22.741587
210811-LD-100.05,38.390385,22.813143
210811-LD-100.07,41.3482,10.764111
210811-LD-102.02,37.171543,24.02861
210811-LD-102.03,37.051243,24.278606
210811-LD-105.01,41.057056,11.235769
210811-LD-105.02,41.243435,11.103057
210811-LD-105.03,39.51773,11.840937
210811-LD-107.01,41.484188,11.49817
210811-LD-109.01,41.11057,12.157092
210811-LD-109.02,41.438473,12.082913
210811-LD-110.01,37.903202,17.71871
210811-LD-110.02,39.770046,12.78791
210811-LD-112.01,42.02776,11.549894
210811-LD-116.01,39.873566,16.854788
210828-LD-020.02,42.10407,12.4045725
210828-LD-022.03,40.411865,12.570476
210828-LD-029.05,37.79929,22.557308
210828-LD-029.06,37.67132,22.995989
210828-LD-032.03,39.869556,18.303312
210828-LD-032.04,41.701454,13.101289
210828-LD-033.06,41.948853,11.077588
210828-LD-035.02,38.27829,12.044222
210828-LD-044.02.2,40.530262,16.687805
210828-LD-044.03,40.512867,16.890375
210828-LD-044.04,39.164085,12.000801
210828-LD-047.05,39.47766,11.622337
210828-LD-048.01,41.86488,12.089566
210828-LD-048.02,41.657604,13.063474
210828-LD-049.02,37.403774,22.490526
210828-LD-049.03,39.05715,12.453495
210828-LD-049.04,40.227276,11.555344
210828-LD-050.02,41.668327,11.785338
210828-LD-051.06,40.897713,11.8445635
210828-LD-051.10,38.38206,11.626607
210828-LD-054.02.2,42.210373,11.709005
210828-LD-054.03,42.123505,11.769923
210828-LD-054.04,40.563877,16.462658
210828-LD-060.04,36.70845,24.39694
210828-LD-060.05,37.52244,23.560541
210828-LD-061.02,37.16654,23.052618
210828-LD-063.02,38.403088,12.054258
210828-LD-064.02,38.108032,11.878896
210828-LD-066.01,37.52272,23.909683
210828-LD-069.01,39.83022,11.698573
210828-LD-069.05,36.984055,24.271765
210828-LD-069.07,36.75967,24.484516
210828-LD-069.08,36.67725,24.435469
210828-LD-069.09,36.68321,24.411049
210828-LD-070.01,41.68708,10.620435
210828-LD-072.01,41.48603,12.779682
