index_column,taxumap1,taxumap2
210625-LD-001.01,44.142204,-14.06404
210625-LD-001.02,44.172623,-13.580384
210625-LD-002.01,56.122326,-11.120461
210628-LD-001.03,44.236675,-14.38609
210628-LD-003.01,56.022167,-11.237946
210628-LD-003.02,57.06409,-10.639912
210628-LD-004.01,55.729324,-10.008174
210628-LD-006.01,44.547955,-13.910933
210628-LD-007.01,45.360043,-13.780874
210628-LD-008.01,55.462585,-10.798735
210628-LD-009.01,43.84848,-11.948407
210628-LD-009.02,43.839104,-11.874002
210628-LD-010.01,50.182487,-10.456644
210628-LD-010.02,44.604073,-13.574047
210628-LD-011.01,44.827084,-13.595921
210628-LD-011.02,44.7955,-12.375263
210628-LD-012.01,45.60338,-14.137792
210628-LD-015.01,46.20174,-13.7280245
210628-MICU-389.04,56.59496,-10.879737
210628-MICU-402.01,49.110245,-12.759931
210628-UC-060.02,55.70436,-10.024171
210630-LD-004.05,56.476852,-10.604509
210630-LD-011.03,44.86038,-12.123253
210630-LD-011.04,44.52411,-12.006401
210630-LD-014.02,44.10074,-11.989389
210630-LD-014.03,44.28809,-12.19289
210630-LD-018.01,44.429253,-11.312208
210630-LD-019.01,44.79099,-11.864037
210630-LD-019.02,44.546005,-11.742525
210630-LD-020.01,44.15011,-12.528531
210630-LD-022.01,45.75834,-13.896292
210630-LD-022.02,44.17448,-12.457801
210630-LD-023.01,56.237595,-10.167314
210630-LD-024.01,44.050922,-14.380274
210714-LD-011.06,44.034836,-11.705935
210714-LD-015.03,43.923714,-11.037427
210714-LD-018.02,43.933636,-10.958537
210714-LD-024.04,49.14066,-12.873826
210714-LD-027.01,57.23015,-10.170126
210714-LD-029.02,46.49228,-13.440302
210714-LD-034.01,49.26951,-12.944336
210714-LD-037.01,57.939716,-10.594192
210714-LD-038.01,44.573463,-14.232477
210714-LD-040.01,44.63016,-13.577504
210805-LD-019.03,44.189396,-11.606362
210805-LD-024.05,49.396046,-12.859679
210805-LD-024.06,49.307236,-12.903286
210805-LD-024.07,49.328224,-12.897061
210805-LD-024.08,55.768597,-10.963199
210805-LD-024.09,48.509674,-12.568624
210805-LD-029.03,55.737217,-11.355185
210805-LD-032.02,43.691963,-11.565212
210805-LD-034.03,49.326942,-13.361747
210805-LD-034.05,49.506584,-13.080542
210805-LD-034.06,49.679718,-12.922246
210805-LD-035.01,44.155502,-11.105861
210805-LD-037.02,45.426903,-13.975543
210805-LD-037.03,44.007732,-14.195982
210805-LD-039.01,45.90313,-13.195146
210805-LD-041.01,45.872047,-13.461975
210805-LD-042.03,48.725475,-12.952595
210805-LD-043.01,57.323708,-10.24404
210805-LD-043.02,57.369267,-10.246877
210805-LD-044.01,43.889835,-14.691707
210805-LD-045.01,46.3921,-14.388575
210805-LD-045.02,43.9689,-14.750428
210805-LD-045.03,44.36766,-14.806086
210805-LD-046.01,44.96352,-13.107063
210805-LD-047.01,44.312016,-14.563002
210805-LD-049.01,55.622566,-10.674046
210805-LD-051.01,43.978165,-11.850975
210805-LD-051.02,44.004707,-11.838659
210805-LD-052.01,44.377144,-12.060163
210805-LD-053.01,44.14999,-14.315359
210805-LD-054.01,44.549217,-14.754212
210805-LD-055.01,43.86524,-11.426016
210805-LD-057.01,45.858795,-13.527171
210805-LD-058.01,45.120304,-14.130405
210805-LD-060.01,45.139908,-14.332115
210805-LD-060.02,44.698315,-14.604509
210805-LD-060.03,44.45999,-15.062261
210805-LD-062.01,45.95524,-13.0427265
210805-LD-062.02,46.013206,-13.214648
210805-LD-063.01,45.712498,-13.886075
210805-LD-064.01,44.413727,-12.581925
210805-LD-065.01,43.787285,-11.399236
210805-LD-068.01,43.99041,-12.134261
210805-LD-61.01,43.75138,-11.657872
210806-LD-001.04,44.544147,-14.108971
210806-LD-001.05,44.423817,-14.148841
210806-LD-032.05,49.443348,-12.892353
210806-LD-032.06,49.544247,-13.226067
210806-LD-033.03,50.167816,-10.401488
210806-LD-033.05,50.143463,-10.447775
210806-LD-054.05,54.86991,-10.989675
210806-LD-060.06,57.0949,-10.414415
210806-LD-060.07,57.006325,-10.30845
210806-LD-060.08,56.707302,-10.5338
210806-LD-060.09,56.34001,-10.61734
210806-LD-060.10,55.58926,-10.898372
210806-LD-065.02,44.471558,-12.383344
210806-LD-069.03,56.193695,-10.732133
210806-LD-072.07,44.992897,-13.852934
210806-LD-074.05,50.275604,-10.530916
210806-LD-074.06,45.885727,-12.89242
210806-LD-074.08,45.87962,-12.977611
210806-LD-084.01,46.432,-14.286114
210806-LD-084.02,49.402397,-13.330158
210806-LD-084.03,49.198566,-12.903117
210806-LD-084.04,49.176502,-13.015889
210806-LD-084.05,49.23209,-13.324826
210806-LD-085.01,45.209118,-13.536116
210806-LD-086.01,46.182102,-12.706293
210806-LD-086.02,47.845295,-11.947272
210806-LD-087.01,47.559303,-13.355531
210806-LD-087.04,44.41695,-13.752404
210806-LD-088.01,46.410255,-13.3594265
210806-LD-092.01,46.622704,-13.5682125
210806-LD-092.02,45.486,-14.308539
210806-LD-093.01,44.66592,-14.610024
210806-LD-093.02,49.54105,-12.562024
210806-LD-094.01,44.72232,-14.004178
210806-LD-094.02,48.863552,-13.365262
210806-LD-094.03,44.42029,-11.501892
210806-LD-094.04,44.329376,-11.253235
210806-LD-095.01,58.00019,-10.359065
210806-LD-095.02,56.65539,-10.113292
210806-LD-095.03,57.24346,-10.20328
